scriptSerial,title,TitleJP-CN,tragedySet,creator,box,setNumber,boxAlt,setNumberAlt,loopsHard,loopsEasy,loopsRange,daysPerLoop,specialRules,notes,mainPlot,SubPlot 1,SubPlot 2,Cast 1 ID,Cast 1 Role,Cast 2 ID,Cast 2 Role,Cast 3 ID,Cast 3 Role,Cast 4 ID,Cast 4 Role,Cast 5 ID,Cast 5 Role,Cast 6 ID,Cast 6 Role,Cast 7 ID,Cast 7 Role,Cast 8 ID,Cast 8 Role,Cast 9 ID,Cast 9 Role,Cast 10 ID,Cast 10 Role,Cast 11 ID,Cast 11 Role,Cast 12 ID,Cast 12 Role,Day 1,Incident 1,Culprit 1 ID,Culprit 1 Role,Day 2,Incident 2,Culprit 2 ID,Culprit 2 Role,Day 3,Incident 3,Culprit 3 ID,Culprit 3 Role,Day 4,Incident 4,Culprit 4 ID,Culprit 4 Role,Day 5,Incident 5,Culprit 5 ID,Culprit 5 Role,Day 6,Incident 6,Culprit 6 ID,Culprit 6 Role,Day 7,Incident 7,Culprit 7 ID,Culprit 7 Role,Day 8,Incident 8,Culprit 8 ID,Culprit 8 Role,Day 9,Incident 9,Culprit 9 ID,Culprit 9 Role,Day 10,Incident 10,Culprit 10 ID,Culprit 10 Role
AHR-004,"Tonight, The Storyteller Speaks of Solitude",今宵、語り部はコドクをカタる ,Another HorizonR,叶慧,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHR-005,ουροβóρος ,,Another HorizonR,Tragedy Looper Allstar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHR-F-001,The Sound of a Flute Flying Towards Heaven,飞往天国的笛声 ,Another HorizonR,Choconut,,,Fan,,5,,5,4,The Mastermind can only play cards on characters specified by the Script. There is no Final Guess.,,Into Nothingness,The Plaguebringer,Hysteria Virus,Uploader,Pied Piper/Gossiper,Sennin,Conspiracy Theorist (Hospital，X=0),Sect Founder,Brain,Pop Idol,Gossiper,A.I.,Obstinate,Boy Student,Fragment,Class Rep,Marionette,,,,,,,,,,,1,Last Will,Sennin,,2,Last Will,Boy Student,,3,Dimensional Distortion,A.I.,,4,Phantasmal Incident,Sect Founder,,,,,,,,,,,,,,,,,,,,,,,,,
AHR-F-002,Codename: Alice,代号：爱丽丝 ,Another HorizonR,Sora,,,Fan,,,,,,"1. The Mastermind chooses a number of cards based on the current EX Gauge at the start of each loop. The Henchman's starting location is also determined by the EX Gauge. 
2. Key Person gains an ability: ""[Forced: End of Loop]: If this person is Dead, the EX Gauge will not be reset at the start of the next Loop.""",,The Forbidden Future,Puppeteer’s Strings,Through the Looking Glass,Scientist,Obstinate/Key Person,Journalist,Fragment,,Forensic Specialist,Conspiracy Theorist/Serial Killer,,Metaworld Denizen,Marionette,Sacred Tree,Gossiper,Illusion,Storyteller,Young Girl,Alice,Uploader,Person/Serial Killer,Henchman,Person (Even: Hospital/Odd: City),,,,,1,Crime of Passion,Scientist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHR-F-003,The Three Wishes of the Otherworldly Visitor,异界来客的三个愿望 ,Another HorizonR,α聆弦,,,Fan,,6,,6,4,Mastermind cannot use Horizontal Movement or Goodwill +1.,,Dimensional Merger,Through the Looking Glass,Puppeteer’s Strings,Transfer Student (Day 4),Shifter,Young Girl,Alice,Girl Student,Person/Serial Killer,A.I.,Storyteller,Office Worker,Fragment,Patient,Fragment,Alien,Gossiper,Black Cat,Conspiracy Theorist/Serial Killer,Scientist,Person,,,,,,,1,Dimensional Perversion,A.I.,,3,Dimensional Distortion,Young Girl,,4,Crime of Passion,Transfer Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHR-F-004,Wandering in the Dimensional Rift,徘徊在次元缝隙 ,Another HorizonR,α聆弦,,,Fan,,4,5,4 – 5,4,"1. The Mastermind cannot use ""Forbid Goodwill.""
2. The Protagonists cannot use ""Hope +1"" on Day 1 of each Loop.",,The Forbidden Future,Puppeteer’s Strings,Unspeakable Horrors,Patient,Storyteller,Scientist,Conspiracy Theorist/Obstinate,Boss (Turf: Hospital),Person/Serial Killer,Pop Idol,Person,Teacher,Marionette,Class Rep,Gossiper,Transfer Student (Day 3),Obstinate/Key Person,Henchman,Fragment,Godly Being (∞ 3),Person,,,,,,,1,Phantasmal Incident,Henchman,,2,Dimensional Fracture,Scientist,,3,Hospital Incident,Transfer Student,,4,Crime of Passion,Class Rep,,,,,,,,,,,,,,,,,,,,,,,,,
AHR-F-005,Petting a Cat Sent me to Another Dimension,撸猫撸进异次元 ,Another HorizonR,α聆弦,,,Fan,,4,5,4 – 5,4,"The Mastermind cannot use ""Forbid Goodwill."" During the Protagonists' Ability phase, the Leader can move the Black Cat to any board.",,Mother Goose Mystery,The Plaguebringer,Jekyll and Hyde,Uploader,Pied Piper/Gossiper,Nurse,Marionette,Scientist,Marionette,Black Cat,Person,Journalist,Person,Informer,Storyteller,Transfer Student (Day 3),Key Person/Brain,,,,,,,,,,,1,Seeping Daylight,Transfer Student,,2,The Murk of Despair,Informer,,3,Dimensional Distortion,Uploader,,4,Crime of Passion,Scientist,,,,,,,,,,,,,,,,,,,,,,,,,
AHR-F-006,The Surviving Oracle,遗存的神谕 ,Another HorizonR,α聆弦,,,Fan,,4,5,4 – 5,4,The Mastermind cannot use any Action cards.,,Fairy-Tale Murderer ,Jekyll and Hyde,Unspeakable Horrors,Office Worker,Lullaby,Copycat,Key Person/Brain,Part-Timer,Conspiracy Theorist/Obstinate,Transfer Student (Day 4),Key Person/Brain,Nurse,Marionette,Patient,Key Person,Sacred Tree,Gossiper,Black Cat,Brain,,,,,,,,,1,Dimensional Distortion,Copycat,,2,Dimensional Distortion,Patient,,3,Dimensional Distortion,Part-Timer,,4,Dimensional Distortion,Transfer Student,,,,,,,,,,,,,,,,,,,,,,,,,
AHR-F-007,A Blood-Soaked Fairy Tale Fraught with Danger,危机四伏的鲜血童话 ,Another HorizonR,α聆弦,,,Fan,,6,8,6 – 8,5,The Mastermind cannot use Action cards. There is no Final Guess.,,Fairy-Tale Murderer,Jekyll and Hyd,Hysteria Virus,Mystery Boy,Shifter,Transfer Student (Day 4),Fragment,Sect Founder,Lullaby,Little Sister,Key Person,Sacred Tree,Key Person/Brain,Illusion,Person,Boss (Turf: Hospital),Brain,Part-Timer,Marionette,Doctor,Gossiper,Uploader,Conspiracy Theorist,,,,,1,Dimensional Distortion,Sacred Tree,,2,Hospital Incident,Doctor,,3,The Murk of Despair,Little Sister,,4,Dimensional Perversion,Uploader,,5,The Singularity,Part-Timer,,,,,,,,,,,,,,,,,,,,,
AHR-F-008,The Dreamy Girl Amidst the Sound of a Magical Flute,幻笛声中的空想少女 ,Another HorizonR,α聆弦,,,Fan,,,6,6,2,The Mastermind can only play predetermined Actions each Day.,,Into Nothingness,Jekyll and Hyd,Hysteria Virus,Journalist,Marionette,Copycat,Marionette,Part-Timer,Fragment,Office Worker,Gossiper,Rich Man's Daughter,Brain,Young Girl,Obstinate,Girl Student,Marionette,Mystery Boy,Pied Piper,Sacred Tree,Conspiracy Theorist,Little Sister,Key Person/Brain,Black Cat,Person,,,1,Dimensional Perversion,Young Girl,,2,Phantasmal Incident,Rich Man’s Daughter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHR-F-009,"I don’t believe in emotions. But, I can believe in despair.",感情は信じられない。でも絶望は信じられ,Another HorizonR,ぶー太郎,,,Fan,,,4,4,5,,,The Forbidden Future,Puppeteer’s Strings,Crossing World Lines,Class Rep,Storyteller,Transfer Student (Day 1),Obstinate/Key Person,Teacher,Marionette,Godly Being (∞ 3),Fragment,Alien,Gossiper,Journalist,Person,Informer,Person,A.I.,Conspiracy Theorist,Nurse,Person/ Serial Killer,,,,,,,1,Dimensional Distortion,Godly Being,,2,Crime of Passion,Transfer Student,,3,The Murk of Despair,Nurse,,4,Left Behind,Teacher,,5,Crime of Passion,Alien,,,,,,,,,,,,,,,,,,,,,
AHR-F-010,Fragments are everywhere,遍在するフラグメント ,Another HorizonR,ペンスキー ,,,Fan,,,8,8,1,"The Mastermind cannot use Movement Actions, and can only place one Action per day. At the start of each loop, the Leader decides the EX Gauge value.",,Dimensional Merger,Puppeteer’s Strings,Hysteria Virus,Metaworld Denizen, Shifter,Sacred Tree, Fragment,Soldier, Person,Nurse, Gossiper,Doctor, Fragment,Journalist, Person/Serial Killer,Copycat, Fragment,Young Girl, Conspiracy Theorist,Boy Student, Fragment,Transfer Student (Day 1),Storyteller,,,,,1,Left Behind,Young Girl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHR-F-011,How can a fairytale have despair?,童话里怎会有绝望 ,Another HorizonR,清尘,,,Fan,,8,10,8 – 10,3,"1. Before each Loop, the Leader can choose one character to place a Goodwill or Paranoia token on.
2. The target of ""The Murk of Despair"" is decided by the Leader.
3. The A.I. is Immortal.
4. The Mastermind's Action cards are fixed.",,Fairy-Tale Murderer,Jekyll and Hyde,Unspeakable Horrors,Godly Being (∞ 4),Key Person/Brain,Mystery Boy,Shifter,Transfer Student (Day 3),Marionette,A.I.,Brain,Scientist,Key Person/Brain,Copycat,Key Person/Brain,Sennin (X=999),Lullaby,Office Worker,Person,Rich Man's Daughter,Conspiracy Theorist/Obstinate,Black Cat,Gossiper,,,,,1,The Murk of Despair,Sennin,,2,Dimensional Distortion,Rich Man’s Daughter,,3,Last Will,Mystery Boy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHR-F-012,The employee's childhood fantasies,职员的童年幻想 ,Another HorizonR,清尘,,,Fan,,∞,,∞,3,Add rules here,,Fairy-Tale Murderer,Through the Looking Glass,Unspeakable Horrors,Office Worker,Person,A.I.,Person,Scientist,Brain,"Sennin (X=0, Shrine)",Conspiracy Theorist/Obstinate,Illusion,Lullaby,Metaworld Denizen,Gossiper,Henchman (Hospital),Conspiracy Theorist/Serial Killer,Transfer Student (Day 1),Alice,,,,,,,,,1,Hospital Incident,Sennin,,2,Last Will,Henchman,,3,Last Will,Metaworld Denizen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHR-F-013,The Foolish Old Man Removes the Mountains ,愚公移山 ,Another HorizonR,Choconut,,,Fan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHR-F-014,Beyond the World Stage,超越世界面 ,Another HorizonR,八十万,,,Fan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHR-F-015,Premature Commitment,过早的献身 ,Another HorizonR,α聆弦,,,Fan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHR-F-016,Fairytale Requiem ,童话安魂曲 ,Another HorizonR,α聆弦,,,Fan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHR-F-017,Steins;Gate ,命运石之门 ,Another HorizonR,清尘,,,Fan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHR-F-018,Practical tips for dating using payphones.,投币式电话约会的实用技巧 ,Another HorizonR,新手之二,,,Fan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHR-F-019,Emma Must Die,杀死艾玛 ,Another HorizonR,DB,,,Fan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHR-F-020, Multiversal Singularities,別世界の同一存在 ,Another HorizonR,ぶー太郎,,,Fan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHR-F-021,Operation Skuld ,,Another HorizonR,のば@頭くるるーん勢,,,Fan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHR-F-022,The Entrance to Fairy Tails is…,御伽噺の入り口は、 ,Another HorizonR,弾濫,,,Fan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHR-F-023,Besieged on All Sides,四面楚歌 ,Another HorizonR,新手之二,,,Fan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTX-001,Magical Girls’ Superiority,魔法少女万能論 ,Basic Tragedy,M.Hydrome,New Tragedies,3,,,3,4,3 – 4,5,,,Sign with me!,An Unsettling Rumor,The Hidden Freak,Pop Idol,Key Person,Doctor,Conspiracy Theorist,Boy Student,Serial Killer,Patient,Person,Teacher,Person,Rich Man’s Daughter,Person,Shrine Maiden,Friend,,,,,,,,,,,2,Increasing Unease,Patient,,3,Hospital Incident,Shrine Maiden,,5,Missing Person,Boy Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTX-002,The Cat Box,猫の箱 ,Basic Tragedy,GEnd,New Tragedies,4,,,3,4,3 – 4,5,,,Giant Time Bomb,A Love Affair,Unknown Factor X,Nurse,Witch,Alien,Lover,Office Worker,Loved One,Black Cat,Factor,Rich Man’s Daughter,Person,Pop Idol,Person,Soldier,Person,,,,,,,,,,,1,Suicide,Rich Man’s Daughter,,4,Missing Person,Office Worker,,5,Missing Person,Alien,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTX-003,The Future Assassin,未来からの刺客 ,Basic Tragedy,unun,Midnight Circle,3,,,4,5,4 – 5,5,,,Change of Future,The Hidden Freak,Circle of Friends,Girl Student,Person,Class Rep,Friend,Shrine Maiden,Friend,Alien,Person,Informer,Conspiracy Theorist,Pop Idol,Cultist,Journalist,Person,Doctor,Serial Killer,Patient,Time Traveler,,,,,,,2,Butterfly Effect,Class Rep,,4,Faraway Murder,Doctor,,5,Hospital Incident,Informer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTX-003-NT,The Assassin from the Future,未来からの刺客,Basic Tragedy,unun,New Tragedies,5,Midnight Circle,3,4,5,4 – 5,5,,,Change of Future,The Hidden Freak,Circle of Friends,Girl Student,Person,Class Rep,Friend,Shrine Maiden,Friend,Alien,Person,Informer,Conspiracy Theorist,Pop Idol,Cultist,Journalist,Person,Doctor,Serial Killer,Patient,Time Traveler,,,,,,,2,Butterfly Effect,Class Rep,,4,Faraway Murder,Doctor,,5,Hospital Incident,Informer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTX-004,Crushed by the Hospital Building in Doronoki,泥ノ木病棟に遺されて ,Basic Tragedy,ロキルス,New Tragedies,6,,,4,5,4 – 5,6,,,Murder Plan,Paranoia Virus,Unknown Factor X,Informer,Key Person,Class Rep,Killer,Boss,Brain (Hospital),Transfer Student (Day 5),Conspiracy Theorist,Boy Student,Factor,Shrine Maiden,Person,Alien,Person,Office Worker,Person,Henchman,Person,,,,,,,2,Suicide,Boy Student,,4,Hospital Incident,Henchman,,5,Faraway Murder,Transfer Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTX-005,Those with Antibodies,抗体を持つ者たち ,Basic Tragedy,Satoshi Sawamura,Tragedy Looper,8,,,4,5,4 – 5,4,,,Change of Future,Threads of Fate,Paranoia Virus,Girl Student,Person,Rich Man’s Daughter,Conspiracy Theorist,Class Rep,Person,Shrine Maiden,Cultist,Police Officer,Person,Office Worker,Person,Informer,Conspiracy Theorist,Doctor,Person,Patient,Person,Henchman,Time Traveler,,,,,1,Butterfly Effect,Rich Man’s Daughter,,2,Foul Evil,Henchman,,3,Spreading,Doctor,,4,Missing Person,Police Officer,,,,,,,,,,,,,,,,,,,,,,,,,
BTX-005-NT,Those with Antibodies (NT),抗体を持つ者たち ,Basic Tragedy,Satoru Sawamura,New Tragedies,7,,,4,5,4 – 5,4,,,Change of Future,Paranoia Virus,Threads of Fate,Shrine Maiden,Cultist,Informer,Time Traveler,Rich Man’s Daughter,Conspiracy Theorist,Class Rep,Person,Office Worker,Person,Forensic Specialist,Person,Doctor,Person,Soldier,Person,Henchman,Person,,,,,,,1,Butterfly Effect,Rich Man’s Daughter,,2,Foul Evil,Henchman,,3,Spreading,Doctor,,4,Missing Person,Forensic Specialist,,,,,,,,,,,,,,,,,,,,,,,,,
BTX-006,Un Rerum,,Basic Tragedy,GaRSoBaG,New Tragedies,8,,,,4,4,6,,,The Sealed Item,Circle of Friends,Threads of Fate,A.I.,Brain,Rich Man’s Daughter,Cultist,Alien,Friend,Office Worker,Friend,Black Cat,Conspiracy Theorist,Mystery Boy,Lover,Class Rep,Person,Forensic Specialist,Person,,,,,,,,,1,Suicide,Black Cat,,2,Foul Evil,A.I.,,3,Missing Person,Mystery Boy,,4,Spreading,Office Worker,,5,Butterfly Effect,Class Rep,,6,Murder,Alien,,,,,,,,,,,,,,,,,
BTX-007,Prologue,序文 ,Basic Tragedy,BakaFire,New Tragedies,9,Tragedy Looper,9,4,5,4 – 5,7,,,Murder Plan,Circle of Friends,A Love Affair,Boy Student,Lover,Girl Student,Loved One,Rich Man’s Daughter,Killer,Shrine Maiden,Key Person,Police Officer,Conspiracy Theorist,Office Worker,Person,Informer,Friend,Doctor,Brain,Patient,Friend,,,,,,,2,Increasing Unease,Office Worker,,4,Suicide,Girl Student,,5,Hospital Incident,Boy Student,,7,Murder,Police Officer,,,,,,,,,,,,,,,,,,,,,,,,,
BTX-008,Neverending Happy & Sad Story,Happy&Bad NeverEnding Story,Basic Tragedy,BF + 3G,New Tragedies,10,Tragedy Looper,10,,4,4,6,"Mastermind removes ""Forbid Goodwill"" from his hand. It cannot be used in any loop",,Giant Time Bomb,An Unsettling Rumor,A Love Affair,Girl Student,Person,Rich Man’s Daughter,Loved One,Class Rep,Person,Mystery Boy,Brain,Alien,Person,Godly Being (∞ 4),Witch,Office Worker,Person,Pop Idol,Person,Boss,Conspiracy Theorist (School),Patient,Lover,Nurse,Person,,,2,Butterfly Effect,Class Rep,,3,Increasing Unease,Alien,,4,Missing Person,Office Worker,,5,Missing Person,Nurse,,6,Missing Person,Patient,,,,,,,,,,,,,,,,,,,,,
BTX-009,Machina Solar Cogwheel,機械神の太陽歯車 ,Basic Tragedy,M.Hydromel,Midnight Circle,1,,,4,5,4 – 5,6,,,Change of Future,A Love Affair,Circle of Friends,Rich Man’s Daughter,Conspiracy Theorist,Class Rep,Person,Alien,Friend,Informer,Loved One,Forensic Specialist,Friend,A.I.,Time Traveler,Patient,Cultist,Scientist,Lover,,,,,,,,,3,Murder,Informer,,4,Butterfly Effect,A.I.,,5,Suicide,Rich Man’s Daughter,,6,Hospital Incident,Scientist,,,,,,,,,,,,,,,,,,,,,,,,,
BTX-010,Traditional Ensemble Murder,,Basic Tragedy,BakaFire,Midnight Circle,2,Script Collection,,4,5,4 – 5,7,,,Murder Plan,An Unsettling Rumor,The Hidden Freak,Boy Student,Serial Killer,Girl Student,Key Person,Rich Man’s Daughter,Killer,Shrine Maiden,Friend,Police Officer,Brain,Office Worker,Person,Informer,Person,Doctor,Conspiracy Theorist,Patient,Cultist,,,,,,,2,Increasing Unease,Patient,,4,Hospital Incident,Shrine Maiden,,5,Missing Person,Boy Student,,7,Murder,Office Worker,,,,,,,,,,,,,,,,,,,,,,,,,
BTX-011,The Illusion Under the Cherry Tree,幻は櫻下に眠る ,Basic Tragedy,BakaFire,New Tragedies,11,Script Collection,,,4,4,7,,,The Sealed Item,An Unsettling Rumor,The Hidden Freak,Doctor,Brain,Boy Student,Cultist,Godly Being (∞ 3),Conspiracy Theorist,Rich Man’s Daughter,Serial Killer,Illusion,Friend,Shrine Maiden,Person,Office Worker,Person,Informer,Person,Scientist,Person,,,,,,,2,Increasing Unease,Shrine Maiden,,4,Butterfly Effect,Scientist,,5,Missing Person,Illusion,,7,Faraway Murder,Rich Man’s Daughter,,,,,,,,,,,,,,,,,,,,,,,,,
BTX-012,A Tragedy Once More,もう一度惨劇へ ,Basic Tragedy,林田さん ,,,Script Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTX-013,Polnareff's Daily Life 1,ポルナレフの日常① ,Basic Tragedy,東野 K ,,,Script Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTX-014,A Shadow of Conspiracy,陰謀の影 ,Basic Tragedy,km( かめ ) ,,,Script Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
